Date,Open,High,Low,Close,Volume
2022-01-03 00:00:00-05:00,152.9014161165886,154.0834729367992,151.18980014962835,154.04563903808594,9317300
2022-01-04 00:00:00-05:00,153.46881697599665,155.4546784935376,153.36479538356534,154.58468627929688,9253800
2022-01-05 00:00:00-05:00,154.556333642875,156.3341521547315,154.51849973486506,155.28448486328125,9330200
2022-01-06 00:00:00-05:00,155.40741201034538,156.22066789546332,153.77144897762736,153.9794921875,7556000
2022-01-07 00:00:00-05:00,154.26317988935935,154.64143237854637,153.14731051626484,153.89437866210938,6098500
2022-01-10 00:00:00-05:00,153.67685410810847,154.25369847443397,151.46404697016717,151.79502868652344,8055000
2022-01-11 00:00:00-05:00,151.51133762458866,151.51133762458866,148.38125302955834,150.0361328125,11957900
2022-01-12 00:00:00-05:00,149.6578769610356,150.69809295882663,149.25125625334036,150.3671112060547,7127500
2022-01-13 00:00:00-05:00,150.65082677308823,150.7832166049976,149.20398988528953,149.68626403808594,6551000
2022-01-14 00:00:00-05:00,149.4782125379432,151.76667324445205,148.99592402899063,151.12362670898438,10708000
2022-01-18 00:00:00-05:00,149.91320943203252,149.91320943203252,147.55854647954428,148.21104431152344,10988400
2022-01-19 00:00:00-05:00,149.04321150959004,155.2655616196183,148.4379988706205,153.19459533691406,14088300
2022-01-20 00:00:00-05:00,152.234341384797,156.2370119996823,152.234341384797,154.02175903320312,10799100
2022-01-21 00:00:00-05:00,154.9725115656032,157.20678363956833,154.11684092430323,154.61122131347656,10900400
2022-01-24 00:00:00-05:00,155.38133813608374,156.03735910816786,150.9033059039498,153.3562469482422,14838100
2022-01-25 00:00:00-05:00,152.54809456063634,153.35623924073906,150.11417273407918,151.6829071044922,9369600
2022-01-26 00:00:00-05:00,149.5912521733547,151.7114386711907,148.67853876809656,150.36135864257812,10707100
2022-01-27 00:00:00-05:00,150.91278151596535,153.40376031066026,150.77017459390802,151.2930908203125,9083000
2022-01-28 00:00:00-05:00,150.7987220249664,153.02347743722996,149.5722587614834,152.59564208984375,9494200
2022-01-31 00:00:00-05:00,151.50230792581655,152.7382736827442,151.04593660813228,152.54812622070312,8950100
2022-02-01 00:00:00-05:00,152.87135504287926,153.35624768055385,149.96205724610851,151.87307739257812,6284100
2022-02-02 00:00:00-05:00,152.25336867844732,154.82039523245123,151.6163668137095,154.59222412109375,7558800
2022-02-03 00:00:00-05:00,154.00275410120287,156.8550091604062,153.66048291380568,156.05638122558594,10474500
2022-02-04 00:00:00-05:00,155.0960983545262,156.3891209874675,153.46080459794405,153.57489013671875,8959900
2022-02-07 00:00:00-05:00,153.89816825385432,154.26896082503814,151.80651748032196,152.4245147705078,6430500
2022-02-08 00:00:00-05:00,153.18507505563852,153.32769648318313,151.78746920813643,152.08221435546875,5048700
