,0
0,250.92
1,248.59
2,246.66
3,245.01
4,243.39
5,241.63
6,239.73
7,238.32
8,237.47
9,237.35
10,237.9
11,237.72
12,237.49
13,237.52
14,237.27
15,237.5
16,237.51
17,237.34
18,237.26
19,237.24
20,237.34
21,236.82
22,236.05
23,235.67
24,235.42
25,235.47
26,236.45
27,237.07
28,237.96
29,239.55
30,241.51
31,243.06
32,244.37
33,245.92
34,247.76
35,249.96
36,252.25
37,254.37
38,256.38
39,258.55
40,261.49
41,264.23
42,266.76
43,268.57
44,270.41
45,272.68
46,274.83
47,276.92
48,278.73
49,280.44
50,281.33
51,282.66
52,283.14
53,283.54
54,284.86
55,286.77
56,289.02
57,290.76
58,292.32
59,293.22
60,294.32
61,295.05
62,295.92
63,295.94
64,295.79
65,294.67
66,292.98
67,290.88
68,288.71
69,287.75
70,286.45
71,285.38
72,284.25
73,283.93
74,283.55
75,283.88
76,283.85
77,284.42
78,284.54
79,285.27
80,285.89
81,286.14
82,286.98
83,287.52
84,287.46
85,287.86
86,288.78
87,289.61
88,291.14
89,293.5
90,296.6
91,298.45
92,300.05
93,300.3
94,300.32
95,300.99
96,303.11
97,304.31
98,304.36
99,303.63
100,302.34
101,300.48
102,297.98
103,295.9
104,294.24
105,293.82
106,294.24
107,295.0
108,296.11
109,297.24
110,298.42
111,300.55
112,303.25
113,306.04
114,308.84
115,312.29
116,315.33
117,318.05
118,320.05
119,320.94
120,320.68
121,320.65
122,321.8
123,321.7
124,321.86
125,321.64
126,321.62
127,321.5
128,321.8
129,321.89
130,321.71
131,322.3
132,322.9
133,322.67
134,321.74
135,321.08
136,319.41
137,317.71
138,315.71
139,313.6
140,311.39
141,308.9
142,307.27
143,305.97
144,304.46
145,303.95
146,303.75
147,304.56
148,306.07
149,307.29
150,308.71
151,310.45
152,311.43
153,312.25
154,312.17
155,311.12
156,311.03
157,309.75
158,308.94
159,308.02
160,307.39
161,307.61
162,307.31
163,305.94
164,305.44
165,305.39
166,305.54
167,305.86
168,305.25
169,304.85
170,305.18
171,305.17
172,304.51
173,303.97
174,305.55
175,307.48
176,308.61
177,309.61
178,311.34
179,313.53
180,316.1
181,318.58
182,319.66
183,320.98
184,322.39
185,324.12
186,323.87
187,324.1
188,325.06
189,325.7
190,325.63
191,326.37
192,327.6
193,329.63
194,332.42
195,334.79
196,337.69
197,340.16
198,341.9
199,343.73
200,345.93
201,348.24
202,351.2
203,353.33
204,354.6
205,356.03
206,355.57
207,355.63
208,354.89
209,354.22
210,354.98
211,355.61
212,355.65
213,356.02
214,355.83
215,355.8
216,356.09
217,355.78
218,357.41
219,358.59
220,360.63
221,361.98
222,362.62
223,363.47
224,364.35
225,364.36
226,364.82
227,364.27
228,364.09
229,363.76
230,362.83
231,361.8
232,360.55
233,360.45
234,360.18
235,359.84
236,359.27
237,359.62
238,359.61
239,360.2
240,360.32
241,360.58
242,360.5
243,360.92
244,360.11
245,358.85
246,358.45
247,357.72
248,357.45
249,356.84
250,355.6
251,354.38
252,352.82
253,351.1
254,350.06
255,348.97
256,348.82
257,347.94
258,346.3
259,345.06
260,343.49
261,341.26
